X,Y,objectid,codigo_via,pr,distanciap,nombre,administra,territoria,latsig,longsig,cat_1,cat_4,cat_5,cat_6,cat_7,link_foto,sector,cat_2,cat_3,ruleid
-73.775204995783582,4.026246301129976,86,6509,0,0,OCOA,CONCESION ANI,META,4.0262463,-73.775205,9000,23800,35400,47200,51300,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Ye de Granada - Paso por el Puente sobre el Río Ocoa,18100,13600,2
-75.307226317339115,2.977797950112034,87,4506,0,0,NEIVA,CONCESION ANI,HUILA,2.97779795,-75.30722632,10400,15400,30000,39700,43900,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Neiva - Natagaima,12100,12000,2
-74.95606254160289,10.967313091956747,88,90A01,0,0,PUERTO COLOMBIA,CONCESION ANI,ATLANTICO,10.96731309,-74.95606254,10800,20500,64100,85700,95100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cartagena - Lomita Arena,16200,11700,2
-74.1794455010116,4.698454268099546,89,5008A,0,0,RÍO BOGOTÁ,CONCESION ANI,CUNDINAMARCA,4.69845427,-74.1794455,7500,13000,22000,29700,32100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Los Alpes - Madrid - Bogotá (Rio Bogotá),11200,9700,2
-73.122107780894112,11.276216625187459,90,9009,0,0,EL EBANAL,CONCESION ANI,GUAJIRA,11.27621663,-73.12210778,8900,17700,25800,41600,52600,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Río Palomino - Riohacha,13800,11100,2
-74.861086499001019,4.192173107153852,93,4507,0,0,FLANDES,CONCESION ANI,TOLIMA,4.19217311,-74.8610865,10400,14900,28000,36900,41100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,El Espinal - Girardot,11800,11600,2
-75.450707100319519,10.574492759264347,94,90A01,0,0,MARAHUACO,CONCESION ANI,BOLÍVAR,10.57449276,-75.4507071,10800,20500,64100,85700,95100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cartagena - Lomita Arena,16200,11700,2
-74.889580047411954,11.012665500311536,95,90A01,0,0,PAPIROS,CONCESION ANI,ATLANTICO,11.0126655,-74.88958005,4700,19000,59400,79400,88100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Cartagena - Lomita Arena,5500,10900,2
-75.203733478682537,3.393809787799238,97,4506,0,0,EL PATÁ,CONCESION ANI,HUILA,3.39380979,-75.20373348,10400,14900,28000,36900,41100,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Neiva - Natagaima,11800,11600,2
-75.594581144171755,5.052205665217116,98,5005,0,0,SAN BERNARDO DEL VIENTO,CONCESION ANI,CALDAS,5.05220567,-75.59458114,9700,11700,28600,35000,41500,http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg,Tres Puertas -La Manuela - Estación Uribe,11700,11700,2
